,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0.158,0.016,7.392,0.095,0.681,0.205,0.132,0.255,0.0,0.035,0.101
2017-02-26 04:30:00,0.168,0.035,6.96,0.061,0.713,0.31,0.153,0.159,0.0,0.094,0.089
2017-02-26 05:00:00,0.168,0.043,6.292,0.091,0.684,0.218,0.137,0.537,0.0,0.253,0.077
2017-02-26 05:30:00,0.17,0.011,7.18,0.065,0.683,0.273,0.159,0.304,0.0,0.127,0.081
2017-02-26 06:00:00,0.430662539444,0.0406625394444,5.77766253944,0.0,0.701662539444,0.145078065444,0.122662539444,1.25095490194,0.0,0.0326625394444,0.0796625394444
2017-02-26 06:30:00,0.0,0.0,6.43097245381,0.0,0.518972453814,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:00:00,0.0,0.0,5.3465687377,0.0,0.0015687377,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:30:00,0.0,0.0,4.56103249128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 08:00:00,0.0,0.0,6.1229693091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 08:30:00,0.0,0.0,5.26590080587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 09:00:00,0.0,0.0,5.64404603813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 09:30:00,0.0,0.0,3.89042544133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 10:00:00,0.0,0.0,4.72164780295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 10:30:00,0.0,0.0,4.28581153957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 11:00:00,0.0,0.0,5.99811394125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 11:30:00,0.0,0.0,6.07960858995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 12:00:00,0.0,0.0,6.96101424632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 12:30:00,0.0,0.0,6.2222372233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 13:00:00,0.0,0.0,5.1581478084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 13:30:00,0.0,0.0,4.28878149103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:00:00,0.0,0.0,4.59674607218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:30:00,0.0,0.0,4.72078732505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:00:00,0.0,0.0,5.89631939707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:30:00,0.0,0.0,5.31357646657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:00:00,0.0,0.0,5.91943524745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:30:00,0.0,0.0,6.01128050488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
